id,TJ_NAME,MEASURE,UNIT_CODE,工单编号,违法类型,发生地点,发生时间,图片路径,OffsiteRule_id,model_output,is_committed,所属支队
1,遮挡公路附属设施或者利用公路附属设施架设管道、悬挂物品，可能危及公路安全：是指在公路附属设施如路灯杆、电线杆、交通信号杆等处悬挂条幅、广告、装饰物等，影响设施正常功能，干扰交通秩序。,C1901000,110119,camera_11000000001315918584_20260402_080024.jpg,遮挡公路附属设施或者利用公路附属设施架设管道、悬挂物品，可能危及公路安全,X017康草路K0+150铁路桥,2026-04-02 08:00:24,http://10.212.160.162:5000/preview/xuangua/camera_11000000001315918584_20260402_080024.jpg,0cc1ea428e61471a8f7969e047774e9e,"### Analysis Process:

1. **Identify Road Infrastructure**: The image shows a roadway with a concrete surface, walls along both sides, and some signage. There are no visible traffic lights, signs, or other legal traffic facilities directly above the road.

2. **Check for Suspended Items**:
   - A thin horizontal line appears across the road at about mid-height. This could potentially be a rope or wire.
   - No other obvious items like decorations, pipes, or additional wires are visibly hanging above the road.

3. **Evaluate the Horizontal Line**:
   - The line does not appear to be part of standard road infrastructure like cables or wires typically used for utilities.
   - It seems irregular compared to typical legal installations.

4. **Text Extraction and Analysis**:
   - There is no visible text on this line or any other elements suggesting it's related to traffic, public slogans, or place names.

5. **Considerations**:
   - The line might pose a hazard by obstructing visibility or being a tripping hazard for vehicles or pedestrians.
   - It doesn't align with normal bridge-related features or legal traffic facilities.

---

### Result:
```json
{
    ""result"": ""yes"",
    ""bounding_boxes"": [
        [860, 420, 1932, 560] // Approximate bounding box for the horizontal line based on visual estimation relative to a 1000x1000 pixel reference frame.
    ]
}
```",0,
2,占用、挖掘公路行为：是指未依法批准或者不按批准内容实施，在公路路面、路肩、边沟或其附属用地上进行占用或开挖作业的行为。此类行为不仅损害公路设施完整性，还可能影响交通安全和通行效率。,C1900100,110112,camera_11011201071328120028_20260402_095821.jpg,擅自占用、挖掘公路,S15京津高速道路K28+150德仁务二桥出京（可控）,2026-04-02 09:58:21,http://10.212.160.162:5000/preview/wajue/camera_11011201071328120028_20260402_095821.jpg,6b50c0ae92ef4b94880443a6b362e731,"```json
{""result"": ""yes"", ""bounding_boxes"": [[917, 648, 1050, 810]]}
```

### Analysis:

- **Condition 1:** A vehicle appears to be actively occupying part of the road, likely performing maintenance or repair tasks based on its position and equipment visible at the rear.
  
- **Condition 2:** Traffic cones are placed along the edge of the occupied lane, indicating a controlled workspace typical of ongoing roadwork.

- **Condition 3:** While no individuals are clearly visible near this vehicle, the setup strongly suggests active participation in road occupation given the context and placement of the vehicle and cones.

No emergency vehicles like ambulances or police cars are present, so the critical priority filter does not apply here. Thus, the scene meets the specified criteria for recognizing road occupation activity.",1,
3,占用、挖掘公路行为：是指未依法批准或者不按批准内容实施，在公路路面、路肩、边沟或其附属用地上进行占用或开挖作业的行为。此类行为不仅损害公路设施完整性，还可能影响交通安全和通行效率。,C1900100,110117,camera_11000000001314235932_20260402_101308.jpg,擅自占用、挖掘公路,S206平三路K2+500东高村,2026-04-02 10:13:08,http://10.212.160.162:5000/preview/wajue/camera_11000000001314235932_20260402_101308.jpg,6b50c0ae92ef4b94880443a6b362e731,"```json
{""result"": ""yes"", ""bounding_boxes"": [[897, 216, 1728, 1092]]}
```

### Explanation:

- **Condition 1:** The image clearly shows ongoing road occupation or excavation activity. There are workers near the barriers and traffic cones, indicating active involvement in managing the site.
  
- **Condition 2:** The surrounding area has visible construction-related signs, including red plastic barriers, traffic cones, and fencing along the road, which are typical indicators of a construction zone.

- **Condition 3:** People are present near the vehicles and barriers, actively directing or participating in the work, further confirming this as an ongoing occupation or excavation activity.

No emergency vehicles like police cars or ambulances are observed in the scene; therefore, the critical priority filter does not apply here. Thus, based on the given criteria, the conclusion is ""yes.""",1,
4,占用、挖掘公路行为：是指未依法批准或者不按批准内容实施，在公路路面、路肩、边沟或其附属用地上进行占用或开挖作业的行为。此类行为不仅损害公路设施完整性，还可能影响交通安全和通行效率。,C1900100,110112,camera_11000000001311789144_20260402_101416.jpg,擅自占用、挖掘公路,S207通清路K8+880纪各庄桥,2026-04-02 10:14:16,http://10.212.160.162:5000/preview/wajue/camera_11000000001311789144_20260402_101416.jpg,6b50c0ae92ef4b94880443a6b362e731,"```json
{""result"": ""yes"", ""bounding_boxes"": [[846, 547, 898, 614]]}
```

### Explanation:

- **Condition 1:** The workers near the side of the road appear to be actively engaged in some form of occupation or excavation activity. They seem to be working close to the road surface.
  
- **Condition 2:** Traffic cones are visible along the edge of the road, indicating a controlled workspace typical of construction or excavation areas. These cones serve as clear construction-related obstacles.
  
- **Condition 3:** There are individuals wearing high-visibility clothing standing near the road's edge, suggesting they are either directing or participating in the ongoing work.

Since all three conditions are satisfied, this qualifies as an ongoing occupation or excavation activity. No emergency vehicles are present in the scene. Therefore, the output is `""yes""` with bounding boxes marking the relevant area.",1,
5,占用、挖掘公路行为：是指未依法批准或者不按批准内容实施，在公路路面、路肩、边沟或其附属用地上进行占用或开挖作业的行为。此类行为不仅损害公路设施完整性，还可能影响交通安全和通行效率。,C1900100,110113,camera_11000000001312599016_20260402_104944.jpg,擅自占用、挖掘公路,X010顺白路K6+980上行支路十三路口,2026-04-02 10:49:44,http://10.212.160.162:5000/preview/wajue/camera_11000000001312599016_20260402_104944.jpg,6b50c0ae92ef4b94880443a6b362e731,"```json
{
    ""result"": ""yes"",
    ""bounding_boxes"": [
        [360, 378, 659, 670]
    ]
}
```

### Explanation:

1. **Occupation or Excavation Activity**:  
   - A yellow utility truck appears to be actively involved in roadwork. It has equipment extended towards the ground, suggesting ongoing excavation or repair work.

2. **Construction-Related Signs/Obsacles**:  
   - Traffic cones surround the vehicle and extend along the side of the road, clearly indicating a designated work zone. Additionally, workers wearing safety gear are visible near the vehicle.

3. **Presence of People Participating/Directing Work**:  
   - Several individuals in high-visibility clothing are present near the truck, actively engaging in tasks related to the roadwork.

Since all three required conditions are satisfied, this scene qualifies as an ongoing road occupation or excavation activity. No emergency vehicles are present, so no exclusion applies.",1,
6,占用、挖掘公路行为：是指未依法批准或者不按批准内容实施，在公路路面、路肩、边沟或其附属用地上进行占用或开挖作业的行为。此类行为不仅损害公路设施完整性，还可能影响交通安全和通行效率。,C1900100,110109,camera_11011101071328230001_20260402_134504.jpg,擅自占用、挖掘公路,G4501六环路广场K111+200大苑村双向出口广场反向（可控）,2026-04-02 13:45:04,http://10.212.160.162:5000/preview/wajue/camera_11011101071328230001_20260402_134504.jpg,6b50c0ae92ef4b94880443a6b362e731,"```json
{""result"": ""yes"", ""bounding_boxes"": [[168, 667, 339, 808]]}
```

### Analysis:

- **Condition 1:** The yellow vehicle appears to be actively involved in roadwork near the left side of the image. It seems positioned close to the edge of the road, suggesting ongoing occupation or excavation activity.
  
- **Condition 2:** There are visible construction-related signs, including workers wearing safety gear near the vehicle and what appear to be barriers or equipment associated with roadwork.

- **Condition 3:** Workers are present near the vehicle, indicating active participation in the task at hand.

No emergency vehicles like police cars or ambulances are observed in this scene. Therefore, based on the given criteria, the conclusion is ""yes.""",1,
7,占用、挖掘公路行为：是指未依法批准或者不按批准内容实施，在公路路面、路肩、边沟或其附属用地上进行占用或开挖作业的行为。此类行为不仅损害公路设施完整性，还可能影响交通安全和通行效率。,C1900100,110113,camera_11000000001313972190_20260402_163053.jpg,擅自占用、挖掘公路,X203右堤路K30+100潮白河大桥上行,2026-04-02 16:30:53,http://10.212.160.162:5000/preview/wajue/camera_11000000001313972190_20260402_163053.jpg,6b50c0ae92ef4b94880443a6b362e731,"```json
{""result"": ""yes"", ""bounding_boxes"": [[798, 680, 1899, 1092]]}
```

### Explanation:

- **Condition 1:** The white truck appears to be actively involved in road occupation or excavation work. Its position partially obstructs the road, indicating ongoing activity.
  
- **Condition 2:** Surrounding this vehicle, there are visible construction-related signs, including green fencing, traffic cones, and barriers. These elements clearly indicate a designated construction zone.
  
- **Condition 3:** There are individuals near the truck who appear to be directing or participating in the work, further confirming active engagement in the occupation/excavation process.

No emergency vehicles like police cars or ambulances are present in the scene; therefore, the critical priority filter does not apply here. Thus, based on the analysis, the conclusion is ""yes.""",1,
8,遮挡公路附属设施或者利用公路附属设施架设管道、悬挂物品，可能危及公路安全：是指在公路附属设施如路灯杆、电线杆、交通信号杆等处悬挂条幅、广告、装饰物等，影响设施正常功能，干扰交通秩序。,C1901000,110116,camera_11000000001312368694_20260402_141000.jpg,遮挡公路附属设施或者利用公路附属设施架设管道、悬挂物品，可能危及公路安全,G111京漠线K79+338分水岭出京停4,2026-04-02 14:10:00,http://10.212.160.162:5000/preview/xuangua/camera_11000000001312368694_20260402_141000.jpg,0cc1ea428e61471a8f7969e047774e9e,"### Analysis Process:

1. **Identify Road Infrastructure Elements**:
   - The image shows a tunnel with clear lane markings, barriers, and walls.
   - There are no visible traffic lights, signs, or other legal traffic facilities directly above the road.

2. **Check for Suspended Items**:
   - A bright green object appears prominently in the foreground, seemingly suspended across part of the road.
   - This object does not resemble typical legal infrastructure like pipes, wires, or traffic control devices.

3. **Assess Potential Threats**:
   - The green object seems to hang loosely and could potentially interfere with vehicle movement, posing a hazard.
   - It doesn't match descriptions of legal elements or background objects listed under exclusions.

4. **Text Extraction and Analysis**:
   - No discernible text is present on this green object; therefore, no further textual analysis is needed.

---

### Conclusion:
The green object appears to be an illegal item hanging above the road, which could endanger road safety.

```json
{
    ""result"": ""yes"",
    ""bounding_boxes"": [
        [0, 290, 1120, 1092]
    ]
}
```",0,
9,遮挡公路附属设施或者利用公路附属设施架设管道、悬挂物品，可能危及公路安全：是指在公路附属设施如路灯杆、电线杆、交通信号杆等处悬挂条幅、广告、装饰物等，影响设施正常功能，干扰交通秩序。,C1901000,110112,camera_11011201071328020051_20260402_141157.jpg,遮挡公路附属设施或者利用公路附属设施架设管道、悬挂物品，可能危及公路安全,G95首都环线高速-k201+970-三北路桥（云）,2026-04-02 14:11:57,http://10.212.160.162:5000/preview/xuangua/camera_11011201071328020051_20260402_141157.jpg,0cc1ea428e61471a8f7969e047774e9e,"### Analysis Process:

1. **Identify Road Infrastructure:** The image shows part of a bridge with concrete supports under it. There are no visible traffic signals, signs, or other legal traffic facilities hanging above the road.

2. **Check for Suspended Items:**  
   - There appear to be thin lines or wires running horizontally across the underside of the bridge. These could potentially be cables or wires but need further evaluation based on their adherence and purpose.
   
3. **Evaluate Adherence and Purpose:**  
   - The horizontal lines seem to run parallel along the bridge's surface without being visibly secured tightly to the structure. This suggests they might not be fixed infrastructure like drainage pipes or official cables.
   
4. **Consider Exclusions:**  
   - The lines do not resemble typical traffic-related installations, decorations, or legal infrastructure components. They also don't align with the characteristics of normal bridge features.

5. **Final Assessment:** Based on the visual evidence, these horizontal lines appear suspicious and could represent illegal items hanging above the road.

---

### Result:
```json
{
    ""result"": ""yes"",
    ""bounding_boxes"": [
        [0, 490, 1931, 520]
    ]
}
```

The bounding box represents the approximate area where the horizontal lines are located within a 1000x1000 pixel reference frame.",0,
10,占用、挖掘公路行为：是指未依法批准或者不按批准内容实施，在公路路面、路肩、边沟或其附属用地上进行占用或开挖作业的行为。此类行为不仅损害公路设施完整性，还可能影响交通安全和通行效率。,C1900100,110113,camera_11000000001315881548_20260402_165901.jpg,擅自占用、挖掘公路,X003龙尹路K4+400上行大秦铁路桥,2026-04-02 16:59:01,http://10.212.160.162:5000/preview/wajue/camera_11000000001315881548_20260402_165901.jpg,6b50c0ae92ef4b94880443a6b362e731,"```json
{
    ""result"": ""yes"",
    ""bounding_boxes"": [
        [897, 616, 1022, 719]
    ]
}
```

### Explanation:

1. **Activity Visibility**: A vehicle appears to be actively involved in road occupation or excavation work near the tunnel entrance. It seems positioned close to the construction zone, indicating active participation.

2. **Construction-Related Signs**: Traffic cones line both sides of the road, clearly marking off areas under construction. Additionally, there appear to be workers present near the vehicle, further supporting ongoing construction activity.

3. **Presence of Workers**: Several individuals wearing high-visibility clothing are visible near the vehicle and along the road, suggesting they are directing or participating in the work.

Since all three required conditions are met, this qualifies as an ongoing occupation or excavation activity. No emergency vehicles like police cars or ambulances are observed, so the critical priority filter does not apply here.",1,
